DPBEMO_NSGA2_mean_var,DPBEMO_MOEAD_mean_var,MOEADPLVF_mean_var,NSGA2_LTR_mean_var,IEMOD_mean_var
0.459(0.07),0.523(0.07),0.425(0.07),0.774(0.08),1.614(1.33)
0.753(0.54),0.745(0.22),2.295(1.22),2.884(1.47),4.165(1.37)
0.409(0.11),0.688(0.03),3.402(1.29),4.712(4.05),6.874(2.45)
1.462(3.0),2.51(4.3),4.393(5.65),3.502(13.74),9.436(14.79)
2.247(2.19),2.918(1.27),8.126(12.68),6.35(28.03),7.108(15.5)
1.846(2.53),4.442(3.9),3.851(11.13),8.471(21.86),8.001(14.62)
2.616(4.64),4.066(5.7),3.944(6.39),9.15(24.63),11.35(31.91)
2.141(2.47),3.988(2.57),9.281(12.21),7.053(45.43),10.736(28.62)
5.724(24.65),5.729(7.45),4.701(15.73),8.323(27.25),14.447(50.17)
4.272(12.0),7.477(2.3),8.954(13.95),7.011(13.46),15.295(49.86)
