DPBEMO_NSGA2_mean_var,DPBEMO_MOEAD_mean_var,MOEADPLVF_mean_var,NSGA2_LTR_mean_var,IEMOD_mean_var
0.459(0.07),0.469(0.09),0.333(0.09),0.774(0.08),1.614(1.33)
0.752(0.54),0.74(0.24),2.112(1.11),2.884(1.47),4.131(1.38)
0.409(0.11),0.064(0.0),2.095(2.54),4.676(4.08),6.343(5.02)
1.459(3.0),1.72(2.1),4.25(5.64),3.415(14.12),9.43(14.85)
2.247(2.19),0.84(0.65),7.28(13.67),6.232(29.11),5.934(12.8)
1.846(2.53),3.91(2.5),3.592(10.88),7.765(17.7),7.94(14.85)
2.612(4.65),1.518(1.65),3.601(6.84),8.519(28.03),10.78(33.49)
2.1(2.57),1.388(0.99),4.953(31.37),6.994(46.07),9.016(23.62)
5.559(25.5),4.071(4.5),4.276(17.19),8.296(27.49),13.123(31.61)
4.25(11.95),7.42(2.38),8.94(13.94),6.781(15.8),15.29(49.85)
